2024-04-04 18:28:17.5758 | HotelProject.MainForm.FillDataTable | ERROR | Вылезла ошибка! System.Data.DuplicateNameException: A column named 'Id' already belongs to this DataTable.
   at System.Data.DataColumnCollection.RegisterColumnName(String name, DataColumn column)
   at System.Data.DataColumnCollection.BaseAdd(DataColumn column)
   at System.Data.DataColumnCollection.AddAt(Int32 index, DataColumn column)
   at System.Data.DataColumnCollection.Add(String columnName, Type type)
   at HotelProject.MainForm.FillDataTable() in D:\Code\kfuHomeworkSem2\laboratoryWork\HotelManager\HotelSolution\HotelProject\Forms\MainForm.cs:line 37 

2024-04-04 18:54:33.7919 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:54:33.8737 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:54:33.8737 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 18:54:33.8737 | HotelProject.MainForm.LoadGuestData | ERROR | Файла guests.json не существует в папке Data 

2024-04-04 18:54:33.8737 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 18:54:33.8737 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:54:33.8883 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 18:54:33.8883 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 18:54:33.9113 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:54:33.9113 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:54:33.9113 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 18:54:33.9113 | HotelProject.MainForm.LoadGuestData | ERROR | Файла guests.json не существует в папке Data 

2024-04-04 18:54:33.9113 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 18:54:33.9113 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:54:33.9113 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 18:54:33.9113 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 18:54:33.9113 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:54:33.9443 | HotelProject.MainForm.FillDataTable | ERROR | Вылезла ошибка! System.Data.DuplicateNameException: A column named 'Id' already belongs to this DataTable.
   at System.Data.DataColumnCollection.RegisterColumnName(String name, DataColumn column)
   at System.Data.DataColumnCollection.BaseAdd(DataColumn column)
   at System.Data.DataColumnCollection.AddAt(Int32 index, DataColumn column)
   at System.Data.DataColumnCollection.Add(String columnName, Type type)
   at HotelProject.MainForm.FillDataTable() in D:\Code\kfuHomeworkSem2\laboratoryWork\HotelManager\HotelSolution\HotelProject\Forms\MainForm.cs:line 37 

2024-04-04 18:54:33.9543 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:54:33.9543 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:54:33.9543 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 18:54:33.9543 | HotelProject.MainForm.LoadGuestData | ERROR | Файла guests.json не существует в папке Data 

2024-04-04 18:54:33.9543 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 18:54:33.9543 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:54:33.9543 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 18:54:33.9543 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.LoadGuestData | ERROR | Файла guests.json не существует в папке Data 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 18:54:33.9674 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.FillDataTable | ERROR | Вылезла ошибка! System.Data.DuplicateNameException: A column named 'Id' already belongs to this DataTable.
   at System.Data.DataColumnCollection.RegisterColumnName(String name, DataColumn column)
   at System.Data.DataColumnCollection.BaseAdd(DataColumn column)
   at System.Data.DataColumnCollection.AddAt(Int32 index, DataColumn column)
   at System.Data.DataColumnCollection.Add(String columnName, Type type)
   at HotelProject.MainForm.FillDataTable() in D:\Code\kfuHomeworkSem2\laboratoryWork\HotelManager\HotelSolution\HotelProject\Forms\MainForm.cs:line 37 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.InitDataGridView | TRACE | Попытка заполнить таблицу guestDataGridView 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.InitDataGridView | TRACE | Таблица guestDataGridView заполнена столбцами 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.LoadGuestData | TRACE | Попытка загрузки данных из файла guests.json 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.LoadGuestData | ERROR | Файла guests.json не существует в папке Data 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.LoadGuestData | DEBUG | Данные из файла guests.json загружены в таблицу 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.FillDataTable | TRACE | Таблица guestDataTable заполнена 

2024-04-04 18:54:33.9674 | HotelProject.MainForm..ctor | TRACE | Программа успешно инициализирована 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.FillDataTable | TRACE | Попытка заполнить таблицу guestDataTable 

2024-04-04 18:54:33.9674 | HotelProject.MainForm.FillDataTable | ERROR | Вылезла ошибка! System.Data.DuplicateNameException: A column named 'Id' already belongs to this DataTable.
   at System.Data.DataColumnCollection.RegisterColumnName(String name, DataColumn column)
   at System.Data.DataColumnCollection.BaseAdd(DataColumn column)
   at System.Data.DataColumnCollection.AddAt(Int32 index, DataColumn column)
   at System.Data.DataColumnCollection.Add(String columnName, Type type)
   at HotelProject.MainForm.FillDataTable() in D:\Code\kfuHomeworkSem2\laboratoryWork\HotelManager\HotelSolution\HotelProject\Forms\MainForm.cs:line 37 

